Node ID,X,Y
127,116.450451,39.926959
128,116.445042,39.865763
129,116.403645,39.968709
130,116.40686,39.907852
131,116.30798,39.962067
132,116.3974,39.968834
133,116.353264,39.92335
134,116.474213,39.905154
135,116.352627,39.907305
136,116.372631,39.941444
137,116.420521,39.915517
138,116.338696,39.914017
139,116.334721,39.922969
140,116.386177,39.865321
141,116.348785,39.894218
142,116.295548,39.932368
143,116.355778,39.951653
144,116.362812,39.912107
145,116.395248,39.959783
146,116.419319,39.845823
147,116.330883,39.846916
148,116.356426,39.913704
149,116.277119,39.917702
150,116.393387,39.93896
151,116.489525,39.915451
152,116.312813,39.836553
153,116.31097,39.984044
154,116.421936,39.87119
155,116.394081,39.853737
156,116.348633,39.872317
157,116.286022,39.924309
158,116.473381,39.908521
159,116.309956,39.933388
160,116.400608,39.949087
161,116.462524,39.956739
162,116.378975,39.867844
163,116.482327,39.850667
164,116.463261,39.975756
165,116.339478,39.889999
166,116.427708,39.881124
167,116.374531,39.867437
168,116.489422,39.915235
169,116.451519,39.908391
170,116.433365,39.859655
171,116.382328,39.949056
172,116.416126,39.905195
173,116.30476,39.855291
174,116.310432,39.899412
175,116.385445,39.987913
176,116.358349,39.923668
177,116.354591,39.864329
178,116.271217,39.945801
179,116.434998,39.908206
180,116.324768,39.830854
181,116.288338,39.936943
182,116.400616,39.842476
183,116.469318,39.835971
184,116.346355,39.868472
185,116.309921,39.939501
186,116.322937,39.96018
187,116.386902,39.865176
188,116.351399,39.905294
189,116.31353,39.862592
190,116.410862,39.925929
191,116.377354,39.96787
192,116.460735,39.908051
193,116.374046,39.910955
194,116.28825,39.946838
195,116.33765,39.938413
196,116.268963,39.924271
197,116.37001,39.976649
198,116.293861,39.859299
199,116.483429,39.95607
200,116.394699,39.977575
201,116.273945,39.911191
202,116.419922,39.855764
203,116.412273,39.892764
204,116.363068,39.945524
205,116.273254,39.956795
206,116.350922,39.967484
207,116.294758,39.874929
208,116.424995,39.969147
209,116.306816,39.943377
210,116.363319,39.907303
211,116.275318,39.931419
212,116.418091,39.910416
213,116.311119,39.906029
214,116.309971,39.909231
215,116.295647,39.939433
216,116.320972,39.911074
217,116.417217,39.991328
218,116.45697,39.965909
219,116.422691,39.949684
220,116.403488,39.991366
221,116.316528,39.848259
222,116.37529,39.961617
223,116.440926,39.893761
224,116.415051,39.892779
225,116.304298,39.944578
226,116.443836,39.903913
227,116.326714,39.889867
228,116.418739,39.893679
229,116.459438,39.937986
230,116.422161,39.858309
231,116.371361,39.854965
232,116.370049,39.975566
233,116.476738,39.95417
234,116.318909,39.855866
235,116.365002,39.843618
236,116.29718,39.934024
237,116.391739,39.907567
