Node ID,X,Y
167,121.459445,31.257127
168,121.486211,31.160632
169,121.423936,31.152465
170,121.392339,31.25709
171,121.603835,31.204856
172,121.514163,31.208599
173,121.444234,31.299081
174,121.409343,31.28763
175,121.59564,31.25175
176,121.531211,31.234551
177,121.435816,31.177468
178,121.535409,31.260076
179,121.577937,31.241078
180,121.599004,31.217748
181,121.558806,31.193739
182,121.447513,31.225328
183,121.517306,31.241531
184,121.403937,31.261585
185,121.543415,31.209489
186,121.466367,31.234286
187,121.427082,31.152667
188,121.517874,31.223103
189,121.501059,31.215004
190,121.475725,31.201733
191,121.535347,31.230475
192,121.479471,31.192805
193,121.383598,31.248349
194,121.479946,31.269672
195,121.384598,31.210784
196,121.538095,31.221957
197,121.525406,31.199675
198,121.508302,31.285843
199,121.560925,31.210529
200,121.4706,31.236373
201,121.39794,31.276337
202,121.382859,31.227848
203,121.561334,31.182771
204,121.520178,31.270423
205,121.427874,31.22653
206,121.439919,31.225544
207,121.469012,31.270957
208,121.461783,31.156523
209,121.42981,31.233526
210,121.471506,31.272634
211,121.472436,31.221513
212,121.405863,31.154999
213,121.492626,31.271607
214,121.466728,31.232501
215,121.416166,31.174424
216,121.380781,31.215737
217,121.462889,31.247658
218,121.485651,31.229755
219,121.477111,31.237701
220,121.485712,31.25357
221,121.479124,31.260564
222,121.516299,31.227055
223,121.5067,31.201837
224,121.393035,31.268795
225,121.42799,31.18542
226,121.528293,31.231038
227,121.550261,31.249284
228,121.482498,31.236776
229,121.452232,31.180723
230,121.528017,31.153538
231,121.408289,31.203345
232,121.470299,31.224969
233,121.477838,31.19698
234,121.438056,31.237004
235,121.503375,31.206542
236,121.492145,31.279579
237,121.413339,31.159303
238,121.549194,31.271716
239,121.404513,31.184712
240,121.422915,31.18678
241,121.566353,31.262507
242,121.528822,31.153928
243,121.402294,31.26908
244,121.403381,31.213037
245,121.390413,31.24989
246,121.487316,31.228958
247,121.430996,31.262355
248,121.493345,31.223776
249,121.436722,31.248653
250,121.555293,31.165537
251,121.562164,31.203771
252,121.568216,31.181479
253,121.478757,31.221686
254,121.564627,31.204074
255,121.44772,31.210417
256,121.480252,31.229614
257,121.525777,31.260324
258,121.462973,31.241049
259,121.488252,31.173022
260,121.443971,31.249349
261,121.508594,31.184266
262,121.536444,31.22531
263,121.43732,31.208496
264,121.432472,31.133753
265,121.452873,31.257122
266,121.466764,31.244248
267,121.455158,31.16688
268,121.506463,31.213971
269,121.524115,31.200151
270,121.560658,31.175518
271,121.547099,31.19978
272,121.523049,31.283659
273,121.454781,31.177964
274,121.396083,31.235579
275,121.535845,31.300305
276,121.458822,31.238866
277,121.471035,31.202003
278,121.384755,31.231778
279,121.585528,31.180567
280,121.599055,31.248968
281,121.435911,31.222167
282,121.547196,31.202041
283,121.44208,31.287753
284,121.433357,31.275348
285,121.466156,31.240477
286,121.388677,31.231343
287,121.476821,31.199383
288,121.447326,31.241966
289,121.5383,31.222249
290,121.499141,31.157882
291,121.530177,31.25505
292,121.43593,31.179973
293,121.405411,31.287509
294,121.412313,31.209368
295,121.458692,31.279467
296,121.55168,31.275601
297,121.476521,31.209058
298,121.404401,31.210997
299,121.450249,31.153521
300,121.487629,31.238488
301,121.541742,31.212411
302,121.485788,31.228421
303,121.494569,31.246462
304,121.454577,31.266774
305,121.490335,31.240698
306,121.496527,31.162175
307,121.550949,31.290339
308,121.555083,31.279302
309,121.492408,31.293662
310,121.471036,31.216958
311,121.435208,31.174484
312,121.569206,31.248039
313,121.540147,31.171974
314,121.545939,31.298013
