Link ID,From Node,To Node,LENGTH,ID,POSSPEED,ROADWIDTH,FC,DIR,PYNAME
1599,1027,2543,0.117039,18629,40,8,6,0,None
1600,1028,9971,0.638327,64821,50,8,6,0,PU SAN LU
1601,1028,11309,0.152288,76756,40,6,6,0,PU SAN LU
1602,1029,6822,0.021753,15791,40,4,7,0,None
1603,1029,5287,0.063534,16649,60,17,4,0,HONG QIAO LU
1604,1030,8716,0.234576,19867,40,8,7,0,HONG GU LU
1605,1030,5479,0.105849,38791,40,8,7,0,AN LONG LU
1606,1031,5628,0.566182,72644,30,6,7,0,SHANG PU LU
1607,1032,6680,0.006291,6248,30,4,7,0,None
1608,1032,1678,0.139457,6245,50,8,4,0,PING LIANG LU
1609,1033,1712,0.375086,66966,60,16,6,0,DONG FANG LU
1610,1033,7101,0.455577,78551,30,4,7,0,None
1611,1034,6208,0.007641,9966,40,8,7,0,None
1612,1034,5993,0.16476,9967,50,8,7,0,DA DU HE LU
1613,1035,5141,0.008055,65534,40,8,7,0,None
1614,1035,8783,0.198841,65535,50,8,7,0,JU JIA QIAO LU
1615,1036,7560,0.312697,37290,30,8,7,0,CHANG LING LU
1616,1036,3043,0.367825,6766,50,12,4,0,ZHONG SHAN BEI 2 LU
1617,1037,10323,0.08295,12433,40,8,7,0,YUN NAN ZHONG LU
1618,1037,10045,0.082116,13743,30,4,7,0,GUANG DONG LU
1619,1038,1213,0.083792,93702,40,8,4,0,TIAN TONG LU
1620,1038,7575,0.074389,8058,30,8,7,0,E MEI LU
1621,1039,5274,0.0409,4815,60,-1,4,0,None
1622,1039,9021,0.043705,4816,60,8,4,0,HAN DAN LU
1623,1040,8473,0.449326,66919,50,4,7,0,PU CHENG LU
1624,1040,4843,0.006097,67040,50,9,6,0,None
1625,1041,1626,0.045915,71129,40,8,7,0,BO SHAN DONG LU
1626,1041,10054,0.02867,71128,50,8,6,0,YUN SHAN LU
1627,1042,4576,0.039494,20836,50,8,6,0,HUA SHAN LU
1628,1042,8005,0.009072,14598,50,6,7,0,None
1629,1043,6141,0.100072,46308,40,16,7,0,REN MIN LU
1630,1044,2316,0.057929,76173,40,8,7,0,None
1631,1044,1950,0.247312,76174,50,8,6,0,FANG DIAN LU
1632,1045,9036,0.106064,15771,30,6,7,0,LE SHAN LU
1633,1046,9760,0.195857,18676,40,8,6,0,None
1634,1047,8693,0.009771,76707,50,12,6,0,JIN XIU DONG LU
1635,1048,7449,0.867144,19862,70,16,1,0,ZHONG HUAN LU
1636,1049,10677,0.446932,17228,50,8,6,0,QIN ZHOU NAN LU
1637,1049,2662,0.529266,15346,40,8,7,0,GUI PING LU
1638,1050,3328,0.054278,42124,30,6,7,0,None
1639,1050,4578,0.117735,42121,30,6,7,0,None
1640,1051,11153,0.390855,12561,40,8,7,0,MEI LING BEI LU
1641,1051,4883,0.214156,20640,30,4,7,0,FENG QIAO LU
1642,1052,9232,0.09595,88122,30,4,7,0,None
1643,1052,2103,0.042107,88123,30,3,7,0,None
1644,1053,2384,0.044601,4785,60,12,6,0,QU YANG LU
1645,1054,8598,0.012613,71415,50,8,6,0,None
1646,1054,2174,0.523992,71413,70,12,4,0,LONG DONG DA DAO
1647,1055,1785,0.008929,71508,50,-1,6,0,None
1648,1055,3555,0.258804,71509,50,9,6,0,BI YUN LU
1649,1056,8461,0.015273,43561,40,8,7,0,GU BEI LU
1650,1056,9895,0.297631,21166,50,12,6,0,CHANG NING LU
1651,1057,9564,0.06453,17256,50,12,6,0,GU DAI LU
1652,1057,11030,0.075726,21734,40,8,6,0,None
1653,1059,6665,0.192009,7794,50,4,4,0,None
1654,1059,7669,0.156472,7791,50,12,4,0,ZHONG SHAN BEI 1 LU
1655,1060,539,0.016724,66766,60,16,6,0,SHI JI DA DAO
1656,1061,8782,0.261287,13131,40,8,7,0,WU DING LU
1657,1061,9303,0.139266,13132,40,8,7,0,SHAN XI BEI LU
1658,1062,6146,0.296527,21017,50,8,7,0,GU BEI LU
1659,1062,8100,0.007645,20242,40,8,7,0,None
1660,1063,9780,0.323014,11530,40,8,7,0,BEI SHI LU
1661,1063,7239,0.207759,11537,30,4,7,0,None
1662,1064,7001,0.170524,12615,30,4,7,0,None
1663,1064,8087,0.118969,12616,30,4,7,0,CHANG AN LU
1664,1065,861,0.371025,78581,30,3,7,0,None
1665,1065,10926,0.712687,78582,30,6,7,0,YAN JIANG LU
1666,1066,3206,0.005913,22639,60,8,6,0,JUN GONG LU
1667,1067,5178,0.197247,74201,30,8,7,0,YAN FENG LU
1668,1068,188,0.244971,66971,50,12,7,0,WEI FANG LU
1669,1068,10518,0.403754,79518,40,8,7,0,NAN QUAN BEI LU
1670,1069,5663,0.327566,80240,30,4,7,0,JIN YAN LU
1671,1070,10853,0.225231,77030,40,6,7,0,JIANG DONG LU
1672,1071,1665,0.017813,12387,30,6,4,0,JIAO TONG LU
1673,1072,9662,0.351494,21555,40,8,7,0,LONG HENG LU
1674,1073,8041,0.291962,15453,40,8,7,0,TIAN LIN DONG LU
1675,1073,8101,0.151235,15454,30,8,7,0,None
1676,1074,11321,0.635444,76760,50,8,6,0,PU SAN LU
