Link ID,From Node,To Node,LENGTH,KIND,WIDTH,DIRECTION,ONEWAY,PATHPY
9881,6229,10550,0.625885,301,30,3,T,nan si huan xi lu fu lu
9882,6230,8338,0.025085,602,55,2,F,huai fang xi lu
9883,6230,9775,0.429975,301,30,3,T,nan si huan zhong lu fu lu
9884,6231,3179,0.312137,301,55,1,None,guang an men nan jie
9885,6231,7676,0.098545,601,55,1,None,tong he xiang
9886,6232,4958,0.542431,601,55,1,None,None
9887,6232,462,0.014721,601,55,0,None,None
9888,6233,9730,0.016851,601,55,1,None,zheng yang da jie
9889,6233,1565,0.272063,301,30,3,T,feng tai da qiao
9890,6234,5022,0.006773,601,55,0,None,None
9891,6235,5472,0.22939,301,55,2,F,nan san huan xi lu fu lu
9892,6235,9849,0.053476,301,55,3,T,nan san huan xi lu fu lu
9893,6236,7529,0.353865,601,55,1,None,pan jia yuan dong lu
9894,6236,1203,0.549153,601,55,1,None,None
9895,6237,7750,0.203451,601,55,1,None,hong lian lu
9896,6238,2892,0.064089,601,55,0,None,None
9897,6238,3788,0.339803,601,55,3,T,chao wai tou tiao
9898,6239,7833,0.149267,601,55,2,F,jing hui jie
9899,6239,8553,0.147133,602,55,2,F,xi da wang lu
9900,6240,5091,0.183473,301,55,3,T,xi si huan nan lu fu lu
9901,6241,1364,0.654117,402,55,2,F,xiao yun lu
9902,6241,5335,0.039017,301,30,3,T,dong si huan bei lu fu lu
9903,6242,8468,0.087879,601,30,3,T,an ding men wai da jie
9904,6242,5855,0.017898,301,30,3,T,None
9905,6243,2260,0.088463,601,55,1,None,ba li zhuang lao jie
9906,6243,7516,0.521352,601,55,1,None,en ji dong jie
9907,6243,2588,0.305504,601,55,1,None,en ji dong jie
9908,6244,3947,0.013089,604,55,2,F,None
9909,6244,871,0.140904,602,55,2,F,None
9910,6245,4192,0.073008,602,30,3,T,qi xiang lu
9911,6246,3426,0.999228,102,55,2,F,san huan
9912,6246,5268,0.053584,105,30,2,F,san huan
9913,6247,7808,0.038808,601,55,3,T,ling long lu
9914,6247,5831,0.01985,601,30,3,T,None
9915,6248,5513,0.144221,107,55,2,F,si huan
9916,6248,8639,0.207853,102,130,3,T,si huan
9917,6249,6114,0.177382,102,130,2,F,feng ti nan lu
9918,6249,8732,0.147353,103,30,2,F,si huan
9919,6250,5760,0.015173,604,55,2,F,None
9920,6251,7787,0.036178,301,55,3,T,dong si huan bei lu fu lu
9921,6252,397,0.240594,601,55,1,None,ding fu jie
9922,6252,2565,0.673723,601,30,1,None,song shu jie
9923,6253,1800,0.593706,402,55,3,T,yao jia yuan lu
9924,6253,4117,0.124542,402,55,2,F,yao jia yuan lu
9925,6254,6330,0.157374,601,30,3,T,bei jing xi zhan nan lu
9926,6255,8218,0.044906,105,30,2,F,si huan
9927,6256,3338,0.283362,402,130,2,F,ping an li xi da jie
9928,6257,9380,0.137535,301,55,3,T,tong hui he bei lu
9929,6257,8244,0.110367,301,55,3,T,dong san huan zhong lu fu lu
9930,6257,4007,0.056112,304,55,3,T,None
9931,6258,8000,0.066178,601,130,1,None,yue tan nan jie
9932,6258,7652,0.036184,601,130,1,None,yue tan nan jie
9933,6258,6926,0.24632,601,30,2,F,san li he nan yi xiang
